"","tournaments","type","matchId","createdAt","map_name","telemetry_path"
"1","as-pcs3kr","match","8f64319d-f8e3-4df5-a052-1092d2d094cf","2020-09-10T08_57_06Z","Baltic_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/09/30/45378d8a-f348-11ea-96f9-ae2007969334-telemetry.json"
"2","as-pcs3kr","match","1d60c71c-f2ad-47f9-8ba7-dc74d675e32f","2020-09-10T09_37_54Z","Baltic_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/10/10/ca15913a-f34d-11ea-96f9-ae2007969334-telemetry.json"
"3","as-pcs3kr","match","f93b25ba-4aba-48f8-add7-4d09050993cf","2020-09-10T10_18_36Z","Desert_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/10/51/9120f345-f353-11ea-96f9-ae2007969334-telemetry.json"
"4","as-pcs3kr","match","5a368d90-e3d9-4213-9eda-5ee6987a69ce","2020-09-10T11_08_01Z","Desert_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/11/39/45306a44-f35a-11ea-96f9-ae2007969334-telemetry.json"
"5","as-pcs3kr","match","175bc344-3563-49fc-b236-23d3e640cd4b","2020-09-10T11_46_23Z","Desert_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/12/18/c5ed7313-f35f-11ea-96f9-ae2007969334-telemetry.json"
"6","as-pcs3kr","match","8a2abfc5-b07b-4058-9c0b-9eb0a7384001","2020-09-11T09_03_09Z","Desert_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/09/35/20e3ff76-f412-11ea-96f9-ae2007969334-telemetry.json"
"7","as-pcs3kr","match","41c7e9d6-eefd-4a5a-af38-239b0078aa00","2020-09-11T09_46_36Z","Desert_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/10/16/e1ae37d4-f417-11ea-96f9-ae2007969334-telemetry.json"
"8","as-pcs3kr","match","2acb671d-e1d0-45da-b600-c17c79b009b0","2020-09-11T10_27_09Z","Baltic_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/10/58/af2d48e5-f41d-11ea-96f9-ae2007969334-telemetry.json"
"9","as-pcs3kr","match","a9930567-5747-4b5c-a92c-786514b65261","2020-09-11T11_07_54Z","Baltic_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/11/37/2103f44d-f423-11ea-96f9-ae2007969334-telemetry.json"
"10","as-pcs3kr","match","9f71cf10-cb9b-46e0-87a0-555aa21f8064","2020-09-11T11_51_18Z","Baltic_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/12/22/67ea4333-f429-11ea-96f9-ae2007969334-telemetry.json"
"11","as-pcs3kr","match","5b933143-9ed5-4aa3-904c-0115ca3f5d14","2020-09-18T08_55_14Z","Desert_Main","https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/18/09/28/4251d17c-f991-11ea-96f9-ae2007969334-telemetry.json"
