Bus_no,type
273,간선
202,간선
1165,지선
3316,지선
3214,지선
3220,지선
2415,지선
2221,지선
240,간선
3216,지선
3425,지선
320,간선
6716,공항
103,간선
120,간선
금천05,마을
금천06,마을
금천07,마을
강북04,마을
652,간선
1227,지선
3317,지선
성북20,마을
6657,공항
구로14,마을
5522B,지선
5522A,지선
5537,지선
5523,지선
153,간선
241,간선
강서05,마을
707,간선
성북21,마을
4318,지선
서대문02,마을
동작19,마을
은평07,마을
강남10,마을
성동13,마을
은평10,마을
노원14,마을
노원15,마을
강서05-1,마을
270,간선
370,간선
470,간선
107,간선
6515,공항
2412,지선
201,간선
302,간선
303,간선
500,간선
504,간선
503,간선
505,간선
704,간선
702A,간선
750B,간선
740,간선
1155,지선
5531,지선
1156,지선
2227,지선
5534,지선
5535,지선
4419,지선
5413,지선
771,간선
5623,지선
5530,지선
5536,지선
5624,지선
5626,지선
5625,지선
5627,지선
5630,지선
5713,지선
5714,지선
6513,공항
6635,공항
6637,공항
6638,공항
673,간선
7016,지선
7017,지선
7021,지선
7726,지선
7727,지선
7728,지선
7025,지선
440,간선
441,간선
541,간선
542,간선
9711A,광역
9701,광역
9703,광역
9408,광역
9403,광역
9709,광역
9401,광역
9707,광역
9404,광역
700,간선
강동02,마을
507,간선
702B,간선
5633,지선
661,간선
540,간선
341,간선
721,간선
108,간선
8772,맞춤
8774,맞춤
9714,광역
강남06-2,마을
성동03-1,마을
성동03-2,마을
성동14,마을
금천09,마을
N850,심야
