YEAR,MONTH,DAY,X1HR,X2HR,X3HR,X4HR,X5HR,X6HR,X7HR,X8HR,X9HR,X10HR,X11HR,X12HR,X13HR,X14HR,X15HR,X16HR,X17HR,X18HR,X19HR,X20HR,X21HR,X22HR,X23HR,X24HR
2017,1,1,60178,57862,56165,55135,54450,54401,54147,52467,50469,49572,50034,50026,49515,49365,49213,49357,50362,53115,55205,55437,55348,55790,58195,59330
2017,1,2,57067,55148,53983,53571,54027,55388,57753,60781,66494,70869,72867,73115,69165,71429,72228,71945,72641,73387,72294,69989,67893,66504,67435,69275
2017,1,3,66263,64233,63194,62461,62649,63396,65098,67745,72982,75999,76522,76019,72203,74725,75576,75168,75791,75922,75469,73118,70769,68726,69593,71346
2017,1,4,68403,66143,65051,64245,64152,64678,66494,68851,73835,76175,76375,75862,72288,74360,74977,74275,74909,75344,74504,71957,69715,68155,68948,70834
2017,1,5,68053,65801,64439,63437,63135,63250,63658,63441,65640,66806,68030,67878,64439,64986,64767,63613,63095,63230,64253,63353,62455,62314,64350,66687
2017,1,6,64147,62010,60783,59779,59398,59296,58984,57533,56159,55679,56548,56435,55563,55759,55408,55256,56000,58322,60456,60310,60173,60224,62288,63214
2017,1,7,60754,58974,57845,57387,57749,58794,60869,64665,71544,75383,74984,74066,70335,72507,73064,72466,73274,73844,73287,71062,68628,66861,67697,69219
